epoch,eval_acc,eval_auc,eval_auc_attr0_group0,eval_auc_attr0_group1,eval_auc_attr0_group2,eval_auc_attr0_max_group_disparity,eval_auc_attr0_std_group_disparity,eval_auc_attr1_group0,eval_auc_attr1_group1,eval_auc_attr1_max_group_disparity,eval_auc_attr1_std_group_disparity,eval_auc_attr2_group0,eval_auc_attr2_group1,eval_auc_attr2_max_group_disparity,eval_auc_attr2_std_group_disparity,eval_auc_attr3_group0,eval_auc_attr3_group1,eval_auc_attr3_group2,eval_auc_attr3_max_group_disparity,eval_auc_attr3_std_group_disparity,eval_dpd_attr0,eval_dpd_attr1,eval_dpd_attr2,eval_dpd_attr3,eval_eod_attr0,eval_eod_attr1,eval_eod_attr2,eval_eod_attr3,eval_es_acc_attr0,eval_es_acc_attr1,eval_es_acc_attr2,eval_es_acc_attr3,eval_es_auc_attr0,eval_es_auc_attr1,eval_es_auc_attr2,eval_es_auc_attr3,eval_loss,trn_loss
25,0.5074,0.6081,0.6402,0.648,0.5906,0.0944,0.0418,0.6114,0.6051,0.0103,0.0052,0.6054,0.7059,0.1653,0.0826,0.6057,0.6952,0.6075,0.1472,0.0687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.5581,0.6043,0.5526,0.5578,0.7315,0.7004
26,0.5074,0.6128,0.5496,0.6809,0.6165,0.2142,0.0874,0.6135,0.6112,0.0037,0.0019,0.6067,0.7557,0.243,0.1215,0.6098,0.8,0.6925,0.3103,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.54,0.6114,0.5334,0.4826,0.7781,0.695
27,0.6053,0.6279,0.7295,0.6842,0.6171,0.1791,0.0736,0.6205,0.6399,0.0309,0.0154,0.628,0.6538,0.0411,0.0206,0.6283,0.6,0.715,0.1832,0.0779,0.0556,0.0339,0.1622,0.1636,0.15,0.0573,0.2252,0.1887,0.4959,0.602,0.5776,0.5332,0.5372,0.6159,0.6119,0.5629,0.6667,0.7019
28,0.5532,0.5433,0.5533,0.5344,0.5632,0.0529,0.022,0.5556,0.527,0.0526,0.0263,0.5536,0.4095,0.2653,0.1327,0.5499,0.4762,0.6325,0.2877,0.1175,0.1508,0.0298,0.2811,0.1873,0.1972,0.0583,0.3748,0.2505,0.5262,0.5387,0.4747,0.4762,0.523,0.5282,0.4749,0.4672,0.7158,0.7058
29,0.5585,0.6195,0.6694,0.6326,0.6143,0.0889,0.037,0.6148,0.6289,0.0228,0.0114,0.6197,0.6753,0.0899,0.0449,0.6188,0.6381,0.69,0.1149,0.0485,0.1284,0.0306,0.0833,0.1527,0.2481,0.0367,0.166,0.2394,0.4451,0.5467,0.498,0.4169,0.58,0.6109,0.5866,0.5685,0.6912,0.7048
30,0.5074,0.5765,0.562,0.5931,0.5791,0.054,0.0221,0.571,0.586,0.0261,0.0131,0.581,0.4977,0.1445,0.0723,0.5765,0.4,0.7462,0.6006,0.2452,0.0086,0.0072,0.0131,0.0357,0.0221,0.0243,0.072,0.1,0.4105,0.5042,0.441,0.3362,0.5577,0.5679,0.5321,0.4282,0.7174,0.6966
31,0.6128,0.6366,0.6625,0.6709,0.6361,0.0546,0.0233,0.6363,0.6361,0.0003,0.0002,0.6319,0.81,0.2797,0.1399,0.6367,0.8952,0.6375,0.4062,0.1912,0.1428,0.0212,0.1176,0.0546,0.225,0.0533,0.2518,0.2832,0.5628,0.5904,0.5756,0.5249,0.6002,0.6361,0.5404,0.5054,0.6639,0.7056
32,0.5074,0.6411,0.6203,0.6863,0.6408,0.1028,0.043,0.6272,0.6629,0.0556,0.0278,0.6404,0.7195,0.1234,0.0617,0.6458,0.6381,0.59,0.087,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6012,0.619,0.5941,0.6055,0.7129,0.6978
33,0.5074,0.5684,0.6911,0.6419,0.5899,0.178,0.0727,0.5796,0.5499,0.0523,0.0261,0.5686,0.6448,0.134,0.067,0.5724,0.7238,0.755,0.3212,0.1403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4668,0.552,0.5279,0.4223,0.8889,0.699
34,0.5074,0.6089,0.7134,0.7143,0.5869,0.2091,0.0982,0.6071,0.6118,0.0076,0.0038,0.6156,0.638,0.0367,0.0184,0.6052,0.6762,0.7825,0.2912,0.1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.4943,0.6061,0.5878,0.4892,0.6733,0.7041
